,section_title,raw_text
119,Timing your licence renewal application,"22.19  We recommend that you renew your licence early, or at least one month 
before the expiry date. If you apply in good time, you will have the chance to 
apply again if your application is rejected. If your licence has expired when we 
make a decision to reject or refuse your application, you will not be able to 
make another application to renew your licence. 
 
22.20  If you delay your renewal application and it is rejected, you risk the possibility 
that your licence expiry date will have already passed and you will not be able 
to make another application to renew because it will have expired. Paragraph 
22.2 above has more information on the consequences of your licence 
expiring. 
 
"
120,Declining to renew your licence,"22.21  You may decline to renew your licence because you no longer sponsor any 
migrants and do not intend to sponsor any in the future. 
Page 96 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
 
22.22  The renewal function in your SMS account includes an option to ‘decline’ to 
renew your licence. If you choose to decline and work through this process to 
its end, you will not be able to change your mind afterwards and your licence 
will expire on its due date. Nothing can be done to change or reverse this. 
 
22.23  If you decline to renew your licence, either deliberately or in error, once it has 
expired, we will curtail the leave of any migrant you were sponsoring, normally 
to 60 calendar days. Paragraph 22.2 above has more information. 
 
22.24  If you do successfully apply again for a new licence, you cannot continue to 
sponsor migrants as though nothing has happened. You are in the same 
position as a newly licensed sponsor and if you want to employ a migrant 
again, where appropriate you must first carry out a resident labour market test 
properly, unless an exemption applies. 
 
22.25  If the resident labour market test shows there are no suitable settled workers 
available to fill the post, or there is an exemption from the resident labour 
market test, only then can you continue to employ that migrant. You must 
assign a new CoS to them and they must apply for leave to remain in the UK 
before their current leave expires. If a Tier 2 or Tier 5 migrant’s leave expires 
before they make a further application, they will have to leave the UK or face 
enforced removal. 
Related content 
Contents 
Page 97 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
23 Certificate of sponsorship 
 
What is a certificate of sponsorship? 
23.  A certificate of sponsorship (CoS) is not a paper certificate or document, but a 
virtual document, like a database record. When you have followed all of the 
rules set out in this guidance and you are ready to sponsor a migrant under 
Tier 2 or Tier 5, you must assign a CoS to them using your sponsorship 
management system (SMS) account. This involves working through a short 
online form where you give us information about the migrant you want to 
sponsor and the work they will do. All of the information you enter will be 
stored and can be viewed by us. A CoS can only be assigned by a person who 
has access to the SMS as a level 1 or level 2 user. 
 
23.1  When you assign a CoS, a reference number is generated and you must give 
this number to the migrant you want to sponsor. They must then include the 
reference number in their application for entry clearance if outside the UK, 
leave to remain under Tier 2 or Tier 5 if inside the UK. When you give the CoS 
number to the migrant, you should treat it as a secure and confidential 
document. 
 
23.2  The migrant may ask for other information that was part of the process of 
generating the reference number. You can give the migrant a copy of their 
CoS, although they don’t need it, and there is a function within your SMS 
account to print any CoS you have assigned. You can do this by using the 
‘View CoS’ function, where you can open the CoS and choose ‘Print’. The 
‘SMS user guide’ has more information on how to use this function. 
 
23.3  As the Tiers 2 and 5 leave to remain application forms can now only be 
accessed online, any migrants you sponsor may ask you to allow them access 
the Internet at your premises. You should consider allowing them to do so, 
especially if they wouldn’t otherwise have access to the Internet, as failure to 
do so may mean they would not be able to apply to extend their stay in the 
UK. You should also consider offering support, but without giving immigration 
advice, to those who do not have the ability or confidence to use online 
services on their own, so they can complete their application. 
 
23.4  When a CoS you have assigned has been used to support an application, it 
will show in your SMS account as ‘used’ and it cannot then be used again. If 
the migrant’s application is refused and they wish to re-apply, you must assign 
a new CoS to them to quote on their new application. The only exception is 
where the CoS has been assigned to and used by a migrant who is a non-visa 
national and who is entering the UK for no more than 3 months under the Tier 
5 Creative and Sporting visa concession. 
 
If the migrant’s application was rejected or withdrawn, the CoS will still show in 
your SMS account as ‘assigned’. It can then be used again to support a further 
application. 
23.5 
 
 
Page 98 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
"
121,Certificate of sponsorship,
122,What is a certificate of sponsorship?,"23.  A certificate of sponsorship (CoS) is not a paper certificate or document, but a 
virtual document, like a database record. When you have followed all of the 
rules set out in this guidance and you are ready to sponsor a migrant under 
Tier 2 or Tier 5, you must assign a CoS to them using your sponsorship 
management system (SMS) account. This involves working through a short 
online form where you give us information about the migrant you want to 
sponsor and the work they will do. All of the information you enter will be 
stored and can be viewed by us. A CoS can only be assigned by a person who 
has access to the SMS as a level 1 or level 2 user. 
 
23.1  When you assign a CoS, a reference number is generated and you must give 
this number to the migrant you want to sponsor. They must then include the 
reference number in their application for entry clearance if outside the UK, 
leave to remain under Tier 2 or Tier 5 if inside the UK. When you give the CoS 
number to the migrant, you should treat it as a secure and confidential 
document. 
 
23.2  The migrant may ask for other information that was part of the process of 
generating the reference number. You can give the migrant a copy of their 
CoS, although they don’t need it, and there is a function within your SMS 
account to print any CoS you have assigned. You can do this by using the 
‘View CoS’ function, where you can open the CoS and choose ‘Print’. The 
‘SMS user guide’ has more information on how to use this function. 
 
23.3  As the Tiers 2 and 5 leave to remain application forms can now only be 
accessed online, any migrants you sponsor may ask you to allow them access 
the Internet at your premises. You should consider allowing them to do so, 
especially if they wouldn’t otherwise have access to the Internet, as failure to 
do so may mean they would not be able to apply to extend their stay in the 
UK. You should also consider offering support, but without giving immigration 
advice, to those who do not have the ability or confidence to use online 
services on their own, so they can complete their application. 
 
23.4  When a CoS you have assigned has been used to support an application, it 
will show in your SMS account as ‘used’ and it cannot then be used again. If 
the migrant’s application is refused and they wish to re-apply, you must assign 
a new CoS to them to quote on their new application. The only exception is 
where the CoS has been assigned to and used by a migrant who is a non-visa 
national and who is entering the UK for no more than 3 months under the Tier 
5 Creative and Sporting visa concession. 
 
If the migrant’s application was rejected or withdrawn, the CoS will still show in 
your SMS account as ‘assigned’. It can then be used again to support a further 
application. 
23.5 
 
 
Page 98 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
23.6  Processes are in place at the port of entry for migrants who come to the UK 
under the Tier 5 Creative and Sporting visa concession, if they have not 
applied for entry clearance because they are: 
 
•  non-visa nationals; that is, not nationals who must always have a visa to 
enter the UK – see Appendix V.2 to the Immigration Rules 
•  seeking entry to the UK for 3 months or less 
 
23.7  Under the Tier 5 (Temporary Worker) Creative and Sporting, you can assign a 
‘group CoS’ to all members of a group. The ‘Assigning a CoS under Tier 5 in 
the creative and entertainment sector’ section has more information about a 
group CoS. 
 
23.8  Once you have assigned a CoS, it can be used by the migrant you have 
assigned it to in support of their application at any time during the 3-month 
period from the date it was assigned. During this period, a migrant cannot be 
assigned another CoS by any other sponsor. If the migrant does not use the 
CoS within this 3-month period to make an application, it will expire and will 
show as ‘expired’ in your SMS account. Please note, that a migrant cannot 
apply for Tier 2 or Tier 5 leave more than 3 months in advance of the start 
date stated on their CoS. 
 
23.9  The start date given on the CoS must be the date that the migrant is expected 
to start working for you at the time the CoS is assigned. 
 
If such start date for a Tier 2 (General) migrant is subsequently changed after 
leave has been granted, it must be within 28 days from the later of: 
 
•  the date on which their entry clearance or leave to remain is granted 
•  the start date on their CoS (taking into account any changes to start date 
properly reported before leave is granted) 
 
23.10  Assigning a CoS does not guarantee that the migrant will succeed in being 
granted entry clearance or leave to remain. They must meet all of the criteria 
for the Tier 2 or Tier 5 leave they are applying for. 
 
23.11  Before assigning a CoS, you should talk to the migrant about their current 
immigration status, as this may affect any application they make because of 
the rules on switching (‘changing’) from one immigration category to another. 
The rules on switching for Tier 2 and Tier 5 migrants can be found in ‘Part 6A 
of the Immigration Rules’ on GOV.UK. 
 
 
How many certificates of sponsorship will I be allowed to 
assign? 
23.12  When applying for a licence, we ask you for an estimate of the number of 
certificates of sponsorship (CoS) you may assign in your first year in each tier, 
category or subcategory. You must justify your request. 
23.13  You can only have an annual allocation of Tier 2 (General) CoS for the 
Page 99 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
"
123,How many certificates of sponsorship will I be allowed to assign?,
124,Cancelling a certificate of sponsorship,"23.25  We can cancel a certificate of sponsorship (CoS) assigned by you if we find it 
should not have been assigned, for example, if it was assigned through 
misrepresentation or fraud. 
 
23.26  You can withdraw a CoS assigned to a migrant which has not yet been used 
to support an application for leave to enter, or remain in, the UK. This can be 
Page 101 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
done using your SMS account. 
 
23.27  A migrant can only have one CoS assigned to them at any given time. If you 
have assigned a CoS to a migrant who intended to start working for you, but 
then decided to take up a job offer with a different sponsor, they must contact 
you to arrange the withdrawal of their CoS. This is because the sponsor who 
they want to start work for will not be able to assign a CoS to them until you 
have withdrawn the one you assigned. They must request this in writing or by 
email giving you 5 working days to action this. If you do not action their 
request, they must send a reminder, after which you will have a further 5 
working days. 
 
23.28  If you refuse, or fail to withdraw, the CoS within the set time the migrant can 
ask us to cancel it. We will not cancel it until we have talked to you about why 
you have not done as they have asked. Failure to action this request from a 
migrant, within the set time, may lead to us taking action against you. 
 
23.29  When a CoS is cancelled or withdrawn, the fee will not be refunded and we 
will refuse any application that is supported by that CoS. 
 
23.30  If a migrant is in the UK with entry clearance or leave to remain, we will cancel 
or curtail their leave if we find the CoS which supported their application was 
improperly assigned. If this happens: 
•  their permission to be in the UK as a Tier 2 or Tier 5 migrant will be 
curtailed, normally to 60 days if they were not actively involved in the CoS 
being assigned, or issued improperly 
•  immediately curtailed if they were actively involved  
 
Related content 
Contents 
Page 102 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
24 Sponsoring migrants 
 
24.  All migrants you wish to sponsor under Tier 2 and Tier 5 must have been 
granted entry clearance before coming to the UK. The only exception is for 
non-visa nationals in the Tier 5 (Temporary Worker) Creative and Sporting 
subcategory who are seeking entry for less than 3 months. See Tier 5 
(Temporary Worker) Creative and Sporting visa concession for more 
information on this. 
 
24.1  Migrants cannot make a valid application for entry clearance or leave to 
remain in the UK under the Tier 2 or Tier 5 categories without a CoS.   
 
24.2  A CoS is confirmation from you as a licensed sponsor that: 
 
•  you wish to sponsor a migrant 
•  you have met all of the rules set out in this guidance in respect of the 
information you have entered on the CoS 
•  the migrant will be able to make a successful application for permission to 
enter, or remain in, the UK 
 
24.3  We make the final decision on who is allowed to enter, or remain in, the UK 
and this will be based on the requirements of the Immigration Rules. Assigning 
a CoS does not guarantee an application will be granted. 
 
24.4  All payments you make to migrants that you sponsor under Tier 2 or Tier 5 
must be made into their own bank account in the UK or overseas. You must 
not pay them in cash. Pre-paid cards such as FOREX are acceptable, but you 
must be able to give evidence that you have made payments onto the 
migrant’s card. 
 
24.5  For each migrant, you must keep the documents specified in Appendix D of 
the guidance for sponsors. 
 
Tier 2 skilled workers 
24.6  Tier 2 allows UK employers to employ nationals from outside the settled 
workforce to fill skilled jobs which cannot be filled by settled workers. A 
migrant sponsored under any Tier 2 category must not displace a suitable 
settled worker, which means that you can only offer a job to a migrant you 
wish to sponsor under Tier 2 if there is no suitable settled worker available to 
fill the vacancy. 
 
24.7  A settled worker cannot be made redundant to create a vacancy to be filled by 
a Tier 2 migrant. 
 
Skill level for jobs under Tier 2 (General) and Tier 2 (Intra-
Company Transfer) 
24.8  Apart from the exceptions listed below, migrants sponsored under Tier 2 
(General) and Tier 2 (Intra-Company Transfer (ICT)) can only work in a skilled 
Page 103 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
"
125,Sponsoring migrants,
126,Tier 2 skilled workers,"24.6  Tier 2 allows UK employers to employ nationals from outside the settled 
workforce to fill skilled jobs which cannot be filled by settled workers. A 
migrant sponsored under any Tier 2 category must not displace a suitable 
settled worker, which means that you can only offer a job to a migrant you 
wish to sponsor under Tier 2 if there is no suitable settled worker available to 
fill the vacancy. 
 
24.7  A settled worker cannot be made redundant to create a vacancy to be filled by 
a Tier 2 migrant. 
 
Skill level for jobs under Tier 2 (General) and Tier 2 (Intra-
Company Transfer) 
24.8  Apart from the exceptions listed below, migrants sponsored under Tier 2 
(General) and Tier 2 (Intra-Company Transfer (ICT)) can only work in a skilled 
Page 103 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
"
127,Skill level for jobs under Tier 2 (General) and Tier 2 (Intra-Company Transfer),
128,Standard occupational classification code,
129,Transitional arrangements for standard occupational classification code: skill level,
130,Information on the overseas criminal record certificate requirement,
131,Rates of pay,
132,Appropriate rate for Tier 2 (General),"26. 
The rules concerning rates of pay for Tier 2 (General) migrants are set out in 
paragraphs 79 to 79D of Appendix A to the Immigration Rules. 
 
26.1  Unless an exception as outlined in this section applies, the minimum salary 
you must pay a Tier 2 (General) migrant is whichever is the higher of:  
•  £30,000 per year 
•  the appropriate rate for the job as stated in Appendix J to the Immigration 
Rules  
 
26.2  These thresholds have been set to make sure that the resident labour market 
is not undercut. The rates are in line with current earnings of settled workers 
and are updated regularly to reflect the latest available salary data. 
 
Note: the salary thresholds for skilled workers will change from 1 January 2021 
under the new points-based immigration system. For further information see Annex 9 
of this guidance and ‘The UK's Points-Based Immigration System: Policy Statement’ 
on GOV.UK. 
 
"
133,New entrant rates,"26.3  For most jobs in Appendix J to the Immigration Rules, there are 2 pay 
thresholds. The lower pay threshold is for ‘new entrants’; the other pay 
threshold is for ‘experienced’ workers. If the migrant qualifies as a ‘new 
entrant’, you must pay whichever is the higher of:  
•  £20,800 per year 
•  the appropriate ‘new entrant’ rate specified in Appendix J to the 
Immigration Rules 
 
26.4  The new entrant pay threshold reflects the fact that people in the early stages 
of their career are generally paid less than their more experienced 
counterparts. Unless the CoS is assigned for more than 3 years and one 
month, the new entrant threshold applies if you have met the resident labour 
market test by carrying out a milkround, or the migrant is changing (‘switching’) 
into Tier 2 (General) under the post-study work provisions.  
 
26.5  Unless the CoS is assigned for more than 3 years and one month, the new 
entrant pay threshold also applies if the migrant is under the age of 26 on the 
date of their application for Tier 2 leave. 
 
26.6  You should not sponsor a migrant at the ‘new entrant’ pay threshold if you 
expect that you will want to sponsor them for more than 3 years and one 
month and you will not pay them the experienced rate after this time. 
In all cases, including where the migrant is applying for a period of leave which 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
26.7 
Page 108 of 209  
 
 
 
 
 
 
 
will bring their total stay under any combination of Tier 2 leave, or as a Work 
Permit holder, beyond 3 years and one month, the ‘experienced worker’ 
threshold must be paid. This means that any worker initially sponsored at the 
‘new entrant’ threshold must be paid at least £30,000 or the ‘experienced 
worker’ rate for their job as specified in Appendix J, whichever is the higher, if 
they are needed for more than three years. This includes where: 
•  the migrant is still under the age of 26, but is applying to extend their stay 
in a Tier 2 category to 5 years 
•  you assign a CoS for more than 3 years and one month 
 
 
"
134,Public service occupation,"26.8 
If the migrant will be sponsored in one of the following public service standard 
occupational classification (SOC) codes, you must pay a minimum of £20,800 
per year or the appropriate rate of pay in the codes of practice in Appendix J to 
the Immigration Rules, whichever is higher: 
•  2217 Medical radiographers 
•  2231 Nurses – but see below if you are sponsoring a pre-registration 
•  2314 Secondary education teaching professionals – subject teachers in 
maths, physics, chemistry, computer science and Mandarin only  
nurse 
•  3213 Paramedics 
"
135,Pre-registration nurses and midwives,"26.9 
If you are sponsoring a pre-registration nurse (SOC 2231) or pre-registration 
midwife (SOC 2232) under Tier 2 (General), you can pay them at the NHS 
Agenda for Change Band 3 rate until they achieve full Nursing and Midwifery 
Council (NMC) registration, provided you confirm that they will sit an objective-
structured clinical examination (OSCE) to obtain NMC registration no later 
than 3 months after the start date on their CoS. You must be able to provide 
evidence of this from the NMC if asked to do so.  
 
26.10  In these circumstances, you can pay the pre-registration nurse or midwife at 
the Band 3 rate until the earliest of the following events:  
•  registration with the NMC is successfully completed 
•  the application for registration is closed 
•  8 months from either:  
o  the start date on their CoS (if it is their first application for Tier 2 entry 
clearance or leave to remain as a pre-registration nurse) 
o  the start date of their previous employment if they are applying for an 
extension to continue working as a pre-registration nurse 
 
26.11  You must confirm that if the migrant achieves full NMC registration, you will 
continue to sponsor them as a nurse or midwife and pay them at least: 
•  if they are a nurse, whichever is the higher of: 
o  £20,800 per year, or 
Page 109 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
o  the NHS Agenda for Change Band 5 rate set out in Table 9 of 
Appendix J to the Immigration Rules 
•  if they are a midwife, whichever is the higher of: 
o  £30,000 per year (or £20,800 per year if they qualify as a new 
entrant), or 
o  the NHS Agenda for Change Band 5 rate set out in Table 9 of 
Appendix J to the Immigration Rules 
 
 
26.12  You must not continue sponsoring a nurse or midwife if they fail to achieve 
NMC registration within 8 months. For further information on the registration 
process, see Non-EEA trained nurses and midwives.  
 
"
136,Transitional arrangements,"26.13  You must pay a minimum of £20,800 per year (or the appropriate rate of pay in 
Appendix J to the Immigration Rules if this is higher than £20,800) if the 
applicant is applying for leave to remain and they: 
 
•  previously had leave as a Tier 2 (General) migrant on the basis of a CoS 
which was assigned to them before 24 November 2016, and 
•  have not been granted entry clearance in this or any other route since 
their grant of leave above 
 
"
137,Appropriate rate for Tier 2 (ICT),"26.14  The rules concerning appropriate rate of pay for Tier 2 (ICT) migrants are set 
out in paragraphs 75 to 75E of Appendix A to the Immigration Rules.  
 
"
138,Long-term Staff,"26.15  The minimum salary you must pay to sponsor a migrant in the Tier 2 (ICT) 
for the job as stated in the codes of practice in Appendix J to the Immigration 
Rules, whichever is higher. 
 
26.16  The only exception to this is where the migrant:  
•  is applying for leave to remain in the Long-Term Staff sub-category, 
•  previously had leave as a Work Permit Holder or a Tier 2 (ICT) migrant 
under the rules in place before 6 April 2011, and  
•  has not been granted entry clearance in this or any other route since that 
grant of leave 
 
26.17  In these circumstances, you must pay the appropriate rate specified in 
Appendix J to the Immigration Rules 
 
"
139,Graduate trainee,"26.18  The minimum salary you must pay to sponsor a migrant in the Tier 2 (ICT) 
Graduate Trainee subcategory is whichever is the higher of:  
•  £23,000 per year  
Page 110 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
•  the appropriate rate specified in Appendix J to the Immigration Rules 
 
Salary information on a certificate of sponsorship – all Tier 
2 categories 
26.19  When you assign a CoS to a migrant, you must give 3 pieces of information 
about the salary package: 
 
•  the gross salary figure which must represent the total amount paid to the 
worker, gross of any tax paid whether paid in the UK or overseas, and 
must include any permitted allowances and guaranteed bonuses 
•  a separate figure for the total of all allowances and guaranteed bonuses 
•  a detailed breakdown of each allowance and each guaranteed bonus 
showing their value 
 
Where the migrant is paid hourly, the appropriate salary consideration will be 
based on earnings up to a maximum of 48 hours a week, even if the migrant 
works for longer than this. For example, a migrant who works 60 hours a week 
for £10 per hour would be considered to have a salary of £24,960 (10x48x52) 
and not £31,200 (10x60x52). This migrant would therefore not be awarded 
points for appropriate salary. 
 
26.20  Where the migrant will be working in the UK for fewer than 12 months, the rate 
of pay must be based on an annual salary. For example, earnings of £15,000 
on a 6-month contract would add up to an annual salary of £30,000. 
 
26.21  The figure given for the gross salary must not be inflated in expectation of any 
tax relief, such as relief on expenditure related to the employment, or tax 
incurred by the employment of a resident worker, but not incurred for a 
migrant.  
 
An example of this is if the gross salary package is £21,000, but the migrant 
worker will have the same net package after tax as a resident worker who is 
paid £25,000 before tax, the CoS must show that the salary package is 
£21,000, not £25,000. 
 
26.22  Salary may be paid in the UK or abroad. Where the migrant will be paid from 
abroad in currency other than pounds sterling, the salary entered on the CoS 
must be based on the exchange rate for the relevant currency on the day the 
CoS is assigned, taken from the rates published on ‘OANDA’.  
 
26.23  The salary package on the CoS may also include any guaranteed allowances, 
such as London weighting or accommodation, which will be paid for the 
duration of the applicant’s employment in the UK. These allowances may only 
be included if they would also be paid to a settled worker. There is one 
exception to this: you may also pay Tier 2 (ICT) migrants allowances to cover 
the additional cost of living in the UK and mobility premiums paid as a 
percentage of base pay. 
 
26.24  The salary package on the CoS must not include: 
Page 111 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
"
140,Salary information on a certificate of sponsorship – all Tier 2 categories,
141,Unpaid leave and reductions in salary,"26.26  Migrants sponsored under Tier 2 or Tier 5 (Temporary Worker) can take short 
periods of unpaid leave but you must stop sponsoring a migrant who is absent 
from work without pay for 4 weeks or more in total in any calendar year. The 
only exceptions to this are where the unpaid absence is for one or more of the 
following reasons: 
•  statutory maternity leave 
•  statutory paternity leave 
•  statutory parental leave 
•  statutory shared parental leave 
•  statutory adoption leave 
•  sick leave 
•  assisting with a national or international humanitarian or environmental 
crisis overseas, provided you agreed to the absence for that purpose 
•  taking part in strike action as part of a legally organised industrial action 
 
26.27  Where you are required to stop sponsoring a migrant who has been absent 
from work without pay for 4 weeks or more, you must report this using your 
sponsorship management system (SMS) account. This applies whether the 
migrant is absent from work over a single period or more than one period 
during any calendar year (1 January to 31 December). The 4 weeks is worked 
out according to the migrant’s normal working pattern. 
 
An example of this is if the migrant works 3 days per week (3 days x 4 weeks), 
it would be 12 working days.  
 
Page 112 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
26.28  If a sponsored migrant wishes to take a longer period of other unpaid leave, 
such as a sabbatical, you must stop sponsoring them and report this using 
your SMS account. 
 
26.29  If you decide to cut a migrant’s salary package to a lower rate than you stated 
on their CoS, such as, if the allowances offered have changed, the new rate 
that you pay to them must meet the current appropriate rate requirements. 
 
26.30  If the new rate is below the appropriate rate, you cannot continue to sponsor 
them and you must report this to us using your SMS account. 
 
26.31  The only exceptions to this rule are where: 
 
 
•  the reduction in salary is due to a period of leave for any reason given in 
paragraph 26.26 above 
•  the reduction is due to the migrant undertaking professional examinations 
to assess whether their skills meet UK standards before starting work for 
you, where the passing of such examinations is a regulatory requirement 
for the job the migrant will be sponsored to do – this could include:  
o  nurses undertaking the objective-structured clinical examination 
o  doctors undertaking the Professional and Linguistic Assessment 
(OSCE) 
Board (PLAB) test 
•  in the case of a Tier 2 (Intra-Company Transfer) migrant, the reduction is 
due to them not being physically present in the UK 
26.32  If the migrant was granted leave under Tier 2 (General) as a ‘high earner’ and 
the reduction in salary takes them below the high earner threshold, the migrant 
must make a new application for leave. 
Related content 
Contents 
Page 113 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
27 Tier 2 (General) 
 
27.  As a Tier 2 (General) sponsor, you will normally be the employer and 
responsible for paying the migrant. There are certain circumstances, such as 
in parts of the creative sector, where there is no direct employer/employee 
relationship. In such circumstances, the migrant must still have a sponsor that 
is able and willing to accept all of the responsibilities and duties associated 
with being their sponsor. 
 
27.1  There will also be circumstances where there is a clear statutory relationship 
between the employing body and a publicly funded body, where the publicly 
funded body can intervene in the running or funding of the employing or 
paying body. In these cases, the publicly funded body can be the sponsor.  
 
Below are 2 examples of this. 
 
Example 1 
A Local Authority has powers of control and direction over self-governing 
schools, so the Local Authority can sponsor teachers in these schools.  
 
Example 2 
A Strategic Health Authority, through its Deanery, Local Education and 
Training Board (LETB) or provider/commissioning organisation, has funding 
control of training posts for doctors and dentists within NHS Trusts, even 
though it is not the paying body. In this case, the Deanery or LETB can be the 
sponsor. 
 
27.2  Where a migrant is not your direct employee, we will look closely at the 
arrangement to make sure that you can fulfil your sponsor duties. We monitor 
you to make sure that you are fulfilling your duties and take action if we find 
that you are not. 
 
The Tier 2 (General) annual limit 
27.3  There is an annual limit of 20,700 certificates of sponsorship (CoS) available 
to sponsors under Tier 2 (General). The limit runs from 6 April each year to 5 
April the following year. 
 
27.4  Unless the migrant qualifies under one of the exceptions in paragraph 27.5 
below, the limit applies to: 
 
overseas  
•  CoS for migrants applying for entry clearance (a visa) to the UK from 
•  CoS for the dependent partner of a migrant who was last granted leave 
under Tier 4, where that dependant is already in the UK and wishes to 
change (‘switch’) into Tier 2 (General)  
 
We call these ‘restricted’ jobs, for which a ‘restricted’ CoS is needed. 
Page 114 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
"
142,Tier 2 (General),
143,The Tier 2 (General) annual limit,"27.3  There is an annual limit of 20,700 certificates of sponsorship (CoS) available 
to sponsors under Tier 2 (General). The limit runs from 6 April each year to 5 
April the following year. 
 
27.4  Unless the migrant qualifies under one of the exceptions in paragraph 27.5 
below, the limit applies to: 
 
overseas  
•  CoS for migrants applying for entry clearance (a visa) to the UK from 
•  CoS for the dependent partner of a migrant who was last granted leave 
under Tier 4, where that dependant is already in the UK and wishes to 
change (‘switch’) into Tier 2 (General)  
 
We call these ‘restricted’ jobs, for which a ‘restricted’ CoS is needed. 
Page 114 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
 
27.5  The following are exempt from the limit and we call these ‘unrestricted’ jobs, 
for which an ‘unrestricted’ CoS is needed: 
•  high value inward investment posts 
•  high earners - where the annual salary for the job is £159,600 or more 
•  all applications by migrants who are applying from within the UK, including 
those extending their stay in Tier 2, changing employer, or switching 
immigration category - the only exception to this is where the migrant was 
last granted leave as the partner of a Tier 4 migrant (student): you must 
apply for a restricted CoS for such migrants  
•  the migrant is being sponsored to work in standard occupational 
classification code ‘2211 Medical Practitioners’ or ‘2231 Nurses’ 
•  the migrant will be sponsored to work in a PhD-level occupation as listed 
in Table 1 of Appendix J to the Immigration Rules 
Related content 
Contents 
Page 115 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
28 Resident labour market test 
 
Resident labour market test: Tier 2 (General) 
28. 
The resident labour market test is there to protect the settled workforce and 
means that you must advertise the job you want to recruit for to give settled 
workers a chance to apply. You can only recruit a migrant if either: 
•  you have completed a resident labour market test in accordance with this 
guidance and can show that no suitable settled worker is available to fill 
the job 
•  the job is exempt from the resident labour market test 
 
28.1  A suitable settled worker means any settled worker who has the skills and 
experience you are seeking. If you find that you have more than one candidate 
with all the necessary skills and experience you advertised for, where one is a 
settled worker and the other is a migrant, you must appoint the settled worker 
even if the migrant is more skilled or experienced. The only exception is if the 
job falls within one of the PhD level standard occupation classification (SOC) 
codes listed in Table 1 of Appendix J to the Immigration Rules, when you can 
appoint a migrant if they are the most suitable candidate. 
 
Exemptions from the resident labour market test 
28.2  This section sets out where you do not have to carry out a resident labour 
market test before you can assign a certificate of sponsorship (CoS) under 
Tier 2 (General). 
 
Continuing to work in the same occupation 
28.3 
If the migrant is already working for you and they need to extend their leave in 
the same immigration category to continue working for you in the same 
occupation, you do not need to carry out a resident labour market test. If they 
are changing (‘switching’) immigration categories and are not covered by 
another exemption, you must advertise the post. 
 
Shortage occupations 
28.4  Shortage occupations are ones where there are not enough settled workers to 
fill available jobs in particular sectors. The shortage occupation list in Appendix 
K to the Immigration Rules on GOV.UK is reviewed regularly. The document 
includes a separate list of shortage occupations for Scotland. If you are filling a 
vacancy which is listed only on the shortage occupation list for Scotland, the 
vacancy must be in Scotland. 
 
28.5  You do not have to carry out a resident labour market test before assigning a 
Tier 2 (General) certificate of sponsorship (CoS) to fill a job in a shortage 
occupation in Appendix K to the Immigration Rules. The exception is if the job 
is in the occupation code ‘2231 Nurses’, where you must carry out a resident 
labour market test. You can only assign a CoS for a job on the shortage 
occupation list if the migrant will work for a minimum of 30 hours per week.  
Page 116 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
"
144,Resident labour market test,
145,Resident labour market test: Tier 2 (General),"28. 
The resident labour market test is there to protect the settled workforce and 
means that you must advertise the job you want to recruit for to give settled 
workers a chance to apply. You can only recruit a migrant if either: 
•  you have completed a resident labour market test in accordance with this 
guidance and can show that no suitable settled worker is available to fill 
the job 
•  the job is exempt from the resident labour market test 
 
28.1  A suitable settled worker means any settled worker who has the skills and 
experience you are seeking. If you find that you have more than one candidate 
with all the necessary skills and experience you advertised for, where one is a 
settled worker and the other is a migrant, you must appoint the settled worker 
even if the migrant is more skilled or experienced. The only exception is if the 
job falls within one of the PhD level standard occupation classification (SOC) 
codes listed in Table 1 of Appendix J to the Immigration Rules, when you can 
appoint a migrant if they are the most suitable candidate. 
 
"
146,Exemptions from the resident labour market test,"28.2  This section sets out where you do not have to carry out a resident labour 
market test before you can assign a certificate of sponsorship (CoS) under 
Tier 2 (General). 
 
"
